code,secret_number_R1,secret_number_R2,secret_number_R3,secret_number_R4,secret_number_R5,secret_number_R6,secret_number_R7,secret_number_R8,secret_number_R9,secret_number_R10,secret_number_R11,secret_number_R12,secret_number_R13,secret_number_R14,secret_number_R15,secret_number_R16,secret_number_R17,secret_number_R18,secret_number_R19,secret_number_R20,secret_number_R21,secret_number_R22,secret_number_R23,secret_number_R24,sender_message_R1,sender_message_R2,sender_message_R3,sender_message_R4,sender_message_R5,sender_message_R6,sender_message_R7,sender_message_R8,sender_message_R9,sender_message_R10,sender_message_R11,sender_message_R12,sender_message_R13,sender_message_R14,sender_message_R15,sender_message_R16,sender_message_R17,sender_message_R18,sender_message_R19,sender_message_R20,sender_message_R21,sender_message_R22,sender_message_R23,sender_message_R24,sender_choice_R1,sender_choice_R2,sender_choice_R3,sender_choice_R4,sender_choice_R5,sender_choice_R6,sender_choice_R7,sender_choice_R8,sender_choice_R9,sender_choice_R10,sender_choice_R11,sender_choice_R12,sender_choice_R13,sender_choice_R14,sender_choice_R15,sender_choice_R16,sender_choice_R17,sender_choice_R18,sender_choice_R19,sender_choice_R20,sender_choice_R21,sender_choice_R22,sender_choice_R23,sender_choice_R24,X_R1,X_R2,X_R3,X_R4,X_R5,X_R6,X_R7,X_R8,X_R9,X_R10,X_R11,X_R12,X_R13,X_R14,X_R15,X_R16,X_R17,X_R18,X_R19,X_R20,X_R21,X_R22,X_R23,X_R24,used
gtwo2wtk,5,5,3,7,6,7,2,6,6,5,1,1,7,1,1,5,1,4,5,4,7,6,2,1,5,3,3,6,5,7,2,6,6,2,7,5,7,7,2,2,7,4,5,4,7,7,5,7,5,3,8,6,5,7,8,8,6,8,8,5,8,7,2,8,7,4,8,4,7,7,5,7,1,0,3,0,0,4,2,2,0,1,0,0,2,0,2,0,1,3,0,4,2,1,1,1,0
h2dydt1a,1,7,3,6,4,7,1,5,5,6,7,6,2,2,7,3,4,6,7,5,4,1,7,5,7,7,1,6,5,6,7,3,5,6,7,6,2,7,7,6,7,6,7,5,5,7,7,5,8,7,1,6,5,6,7,3,5,8,7,6,8,7,7,8,7,6,7,5,5,7,7,8,1,2,1,2,1,2,0,0,4,3,2,4,3,0,4,0,1,4,4,1,0,0,2,3,0
h6ny4sp5,7,7,2,1,2,6,3,7,5,2,3,6,1,4,4,3,7,2,5,3,4,5,2,4,5,7,2,7,4,6,6,6,5,2,7,5,1,6,7,3,7,2,5,3,4,7,2,5,8,8,8,7,8,8,6,6,5,8,8,8,8,8,7,3,7,8,5,8,4,7,2,5,1,4,2,1,0,1,0,1,2,4,2,0,4,0,0,4,3,4,3,4,3,1,1,2,0
hytch124,3,7,7,1,7,2,3,7,3,1,3,2,4,2,1,3,5,2,1,1,7,2,2,4,3,7,5,7,7,2,3,7,3,4,3,6,5,6,1,7,4,7,6,5,6,2,2,4,3,7,5,7,8,8,8,7,8,4,3,6,5,6,1,7,4,7,6,5,6,2,2,8,2,1,1,0,3,2,4,0,3,3,3,1,0,0,4,2,1,0,1,1,0,4,2,3,0
i00e409l,3,7,5,3,4,4,3,4,4,5,6,2,7,5,7,1,3,4,5,3,7,6,1,3,5,7,5,7,7,4,6,4,4,5,4,6,7,6,7,1,7,6,2,3,7,6,1,4,8,7,5,7,8,8,8,8,4,5,8,6,7,6,7,8,8,6,2,3,7,8,8,4,2,2,0,0,1,4,1,3,4,2,1,0,4,1,3,3,2,1,0,0,4,4,4,0,0
innquncr,7,6,7,3,5,6,7,5,3,6,4,6,1,7,5,7,2,4,7,5,5,2,7,5,4,6,6,2,6,6,7,6,6,6,4,6,7,3,6,7,7,5,7,3,7,7,7,7,8,6,6,2,6,6,7,6,6,6,8,6,7,3,6,7,7,5,7,8,7,7,7,7,0,1,0,1,2,2,1,2,1,4,3,3,0,0,0,3,0,0,1,0,3,0,1,0,0
jrtg9t6q,3,3,7,2,2,7,6,7,5,3,6,1,7,4,2,7,6,4,2,6,5,3,2,5,2,5,6,2,5,7,6,7,5,5,6,1,6,4,6,5,1,4,2,6,5,5,5,5,2,5,6,2,8,7,6,7,5,5,6,1,6,4,6,5,1,4,2,6,5,5,5,5,0,0,0,1,0,4,3,3,3,2,4,1,0,4,1,1,1,4,3,0,4,0,2,3,0
jvopp27d,3,1,3,2,2,2,5,6,2,7,5,7,3,6,3,1,6,3,3,5,6,1,7,3,3,6,3,6,5,6,5,6,5,5,6,7,5,6,3,1,7,5,5,5,6,5,3,7,3,6,3,6,5,6,5,6,8,5,6,8,5,6,3,1,7,5,5,8,6,8,8,7,3,0,4,0,1,2,4,3,2,0,0,4,0,1,2,2,1,2,1,1,1,0,1,0,0
ldabagse,5,5,4,1,6,5,4,4,4,2,3,4,5,6,4,5,2,6,7,6,6,6,7,5,5,5,4,7,3,6,6,6,6,2,3,7,5,6,4,5,5,6,5,6,6,3,3,2,5,5,8,7,3,8,6,6,6,2,3,7,5,6,8,8,5,6,5,6,6,3,3,2,3,4,4,0,0,3,1,1,0,3,2,0,4,2,2,4,3,2,0,4,4,3,3,1,0
lpb96yya,2,5,6,2,4,4,4,2,1,3,3,2,5,5,6,1,4,7,3,4,2,4,5,1,2,3,3,2,0,4,2,5,4,3,3,5,5,5,6,4,4,7,3,5,7,4,5,7,2,3,8,2,0,4,8,5,4,8,8,5,5,5,6,4,8,7,8,8,7,4,5,7,3,1,1,3,0,4,0,1,2,3,0,2,3,1,3,1,4,1,1,2,3,1,3,0,0
luz49iou,4,3,3,1,5,4,2,7,7,2,7,5,4,6,1,7,1,1,2,1,3,4,7,5,4,3,4,1,3,5,2,7,5,3,7,5,4,1,6,7,6,1,2,5,6,4,7,6,4,3,4,8,3,5,2,7,5,3,7,5,4,8,8,7,6,8,8,5,8,4,7,6,1,1,1,3,0,2,4,1,1,1,4,1,3,1,0,4,1,3,4,0,0,2,4,3,0
m0vrgatf,2,6,2,5,3,6,2,2,1,7,5,4,3,1,4,3,7,4,6,7,2,2,5,6,0,1,5,5,3,6,1,2,1,2,7,4,3,1,6,5,6,5,6,6,2,2,7,6,0,8,5,8,3,8,8,2,8,8,7,8,3,8,6,5,6,8,6,6,8,8,8,6,0,0,3,4,3,2,2,3,3,3,1,3,3,3,1,1,1,0,4,0,1,2,1,1,0
m8xdo74w,2,6,2,7,7,1,5,6,3,6,1,7,6,5,6,3,3,2,7,5,4,2,3,4,7,4,2,7,4,1,6,4,3,6,1,5,6,6,6,7,3,6,7,5,3,6,1,7,8,4,2,7,4,1,6,4,8,6,8,8,6,6,6,7,8,6,7,5,3,6,8,7,1,1,3,3,1,2,2,0,1,1,4,0,3,1,1,1,2,1,3,1,0,0,3,0,0
monhdri5,3,1,5,2,3,5,6,3,4,7,2,5,5,6,3,2,2,1,7,1,4,2,3,3,6,6,5,2,6,7,5,4,4,3,3,3,7,1,3,2,5,7,7,5,7,4,3,3,8,6,5,2,6,8,5,8,4,3,8,8,7,8,8,2,5,7,7,5,8,4,8,8,1,1,2,3,1,1,0,2,4,1,1,0,0,0,4,4,0,0,1,0,2,0,2,4,0
n8xhachp,7,7,1,1,5,7,5,3,7,7,4,4,6,2,7,1,7,5,7,7,6,6,6,7,5,7,5,2,7,1,4,2,5,7,4,5,6,6,4,7,7,5,7,4,6,6,6,7,5,7,5,2,8,1,4,2,8,7,4,5,6,6,4,7,7,5,7,4,6,6,6,7,0,4,0,2,0,3,0,1,0,4,3,0,2,0,1,1,4,2,4,2,1,1,1,2,0
ob213bau,4,6,6,4,2,4,4,2,2,2,6,7,2,6,4,5,5,3,4,4,7,7,1,2,6,7,7,6,2,4,6,4,3,6,6,6,7,6,1,4,6,3,7,4,7,5,1,7,6,7,8,6,8,8,6,8,3,6,6,6,7,6,1,4,6,3,8,4,7,5,8,7,2,0,0,0,2,3,0,1,2,0,3,1,0,4,3,0,0,2,2,3,2,0,4,2,0
olpceysd,6,5,3,6,5,6,7,1,3,2,6,5,3,3,3,4,1,6,7,5,5,6,5,1,6,5,7,5,5,6,6,1,7,2,6,5,5,6,1,5,6,6,7,5,5,5,5,5,6,5,7,5,8,6,6,1,7,8,6,5,8,6,1,8,6,6,7,5,5,8,5,5,1,0,1,0,2,4,2,4,0,1,4,1,0,0,2,2,0,3,2,2,1,2,2,2,0
oo1n5ugr,3,5,1,6,1,1,2,5,7,4,5,7,2,7,3,4,2,4,3,2,3,7,6,6,7,5,4,6,3,7,2,6,6,6,5,7,2,6,6,4,7,6,3,2,6,6,6,6,7,8,8,6,8,7,2,6,6,6,5,7,8,6,6,8,7,6,3,8,6,6,6,8,1,4,2,4,0,0,1,0,0,0,0,0,2,1,0,2,0,0,3,2,1,0,1,3,0
owfr3yoy,4,5,4,1,1,7,6,3,3,4,6,7,1,1,6,4,3,3,7,3,6,5,3,4,3,5,4,4,1,5,6,3,3,5,6,7,4,7,4,5,2,3,5,5,1,5,4,4,3,5,4,8,8,5,6,3,8,5,6,7,4,8,4,5,2,8,5,5,8,5,4,4,1,3,1,3,2,0,2,2,2,1,2,3,2,0,1,2,0,0,0,1,0,4,1,4,0
ps6pko2f,3,7,7,3,4,3,2,3,5,2,5,3,7,5,4,2,6,5,4,5,4,6,7,1,3,6,7,2,4,3,5,7,5,6,5,2,7,5,6,4,6,6,7,5,4,7,6,4,3,6,7,2,4,3,5,7,5,6,5,8,7,5,6,8,6,6,7,5,4,7,6,4,0,1,2,0,3,4,1,0,4,0,4,0,1,4,0,2,2,0,0,3,1,2,0,2,0
q7e3i7qi,5,6,5,7,5,2,2,2,1,1,2,1,5,3,5,5,6,6,1,5,1,6,4,3,4,6,5,7,6,5,3,2,5,7,2,4,6,3,2,1,7,6,5,6,1,2,4,6,4,6,5,8,6,5,8,2,5,7,8,8,6,8,8,8,7,8,5,6,8,2,8,6,0,1,2,1,0,1,0,4,2,0,2,1,0,2,0,2,1,4,0,1,1,1,3,1,0
re4laue2,5,7,6,5,4,7,4,3,4,3,6,3,4,5,7,6,1,7,6,2,3,2,4,6,5,5,5,3,4,5,2,7,4,3,6,6,1,5,7,4,4,3,6,2,3,6,4,6,5,5,5,3,4,5,2,7,4,3,8,6,1,5,7,4,4,3,6,2,3,8,4,6,2,2,0,0,3,1,1,0,1,2,3,0,0,4,3,0,0,3,4,1,2,0,1,4,0
s32wfeyx,2,6,6,4,6,7,6,6,3,3,4,4,5,6,6,6,5,3,1,7,6,2,2,5,5,6,6,4,6,3,5,5,3,3,4,6,5,5,6,6,5,6,1,7,6,6,2,6,5,6,6,8,6,3,5,5,3,8,4,6,5,5,6,6,5,6,1,7,6,6,2,6,2,4,3,4,2,1,0,0,1,2,2,3,2,1,4,4,4,2,0,3,4,0,3,3,0
sl6r5yhl,2,6,5,2,6,4,6,5,4,6,4,5,6,7,5,7,6,2,7,7,1,3,5,4,2,6,6,2,6,7,6,4,5,3,7,5,2,7,5,7,6,2,6,7,1,3,7,7,8,6,6,2,6,7,6,4,8,3,8,5,8,7,5,8,6,8,8,7,1,3,7,7,4,3,0,0,0,0,3,3,0,2,0,2,0,1,4,2,3,4,2,4,1,1,0,0,0
tl4jivjz,2,4,4,4,7,5,1,3,4,7,2,2,4,7,2,4,2,3,2,5,7,2,6,6,5,3,4,4,7,6,1,4,4,7,5,3,4,5,6,1,2,6,6,5,6,2,7,6,5,3,4,4,7,6,1,4,8,8,5,3,4,5,6,8,2,6,6,5,6,8,7,8,3,2,1,4,4,0,2,1,0,4,1,2,4,0,2,1,2,0,0,4,2,3,1,2,0
tmz0cshs,4,3,7,4,6,5,1,2,4,4,6,1,1,7,5,3,7,5,5,2,5,7,6,7,5,3,7,4,6,5,6,3,5,7,6,1,5,7,5,4,7,4,5,6,7,6,6,7,5,3,7,4,6,5,6,3,5,7,6,1,5,7,8,4,7,4,5,6,7,6,6,7,0,4,2,0,4,2,0,0,3,2,4,0,0,3,4,2,4,1,2,2,1,0,3,3,0
ue384rqy,4,5,7,1,7,6,5,6,3,4,2,3,4,3,5,1,4,3,2,1,4,1,7,5,4,6,5,1,3,5,7,4,3,4,2,3,1,4,5,1,4,6,6,1,4,1,7,5,4,6,5,1,3,5,7,4,3,4,8,8,8,8,8,8,4,6,6,8,8,8,8,5,0,0,3,2,2,1,2,2,3,0,2,4,0,1,4,3,3,2,0,3,3,0,3,4,0
unofyjva,3,6,2,4,1,2,3,4,7,5,2,1,3,1,1,2,3,4,7,7,6,5,6,7,6,2,6,1,1,7,1,6,7,2,6,2,3,1,3,6,3,7,7,6,6,2,6,7,6,8,8,1,8,7,8,6,7,8,8,8,3,8,3,6,8,8,7,6,6,8,6,7,0,1,0,1,2,1,0,1,4,2,2,2,2,4,1,2,4,1,1,0,4,1,2,3,0
upl95jkt,2,4,1,3,7,3,2,2,2,5,6,6,6,6,1,2,6,2,6,7,6,5,5,6,0,7,7,4,6,3,2,7,2,3,7,6,6,6,7,2,6,7,6,7,6,2,5,6,0,7,7,4,6,8,2,7,2,8,7,6,6,6,7,8,6,7,6,8,6,2,5,6,0,2,0,0,0,3,2,1,2,1,0,3,1,2,2,2,4,3,1,2,0,3,3,1,0
ur9vtr5u,4,6,7,4,4,1,3,7,7,1,6,2,4,3,4,3,4,7,1,7,4,2,3,1,4,7,5,4,4,3,6,7,7,7,6,2,7,5,4,7,4,7,2,7,4,6,6,7,4,7,5,4,4,8,6,7,7,7,6,2,7,5,4,7,8,7,2,7,4,6,6,8,4,2,1,2,1,2,1,1,3,0,3,4,1,0,1,2,4,1,2,1,2,2,0,1,0
uw3jzeki,5,6,3,4,7,2,7,7,6,6,6,1,7,5,7,6,5,3,3,6,4,5,5,4,5,6,3,4,7,7,7,1,6,6,6,2,7,5,7,6,3,4,6,6,4,5,5,6,5,6,3,4,8,8,7,8,6,6,6,8,7,5,7,6,8,8,6,8,4,5,5,6,3,2,0,2,3,2,3,1,2,0,3,0,1,1,4,3,0,1,2,0,2,4,4,1,0
vpbdd04h,1,6,6,4,7,5,2,7,4,5,4,7,5,3,1,2,7,5,6,5,7,5,5,4,7,6,2,4,2,7,2,7,4,2,7,4,6,6,1,6,1,5,6,5,7,6,6,4,7,6,8,8,8,7,2,7,4,2,7,4,8,6,8,6,1,5,6,5,7,6,6,4,1,1,2,2,1,2,4,3,0,3,0,0,0,0,3,0,1,1,4,4,3,0,1,3,0
vqb2qgpb,5,6,1,5,5,3,6,6,5,6,1,6,6,1,2,2,6,6,4,3,1,2,1,3,5,3,6,5,2,4,5,7,5,7,5,6,6,1,5,5,6,6,7,6,5,2,5,5,5,3,6,5,2,4,8,7,5,8,5,8,6,8,5,5,6,6,7,8,5,2,5,5,1,1,0,0,1,0,2,0,4,2,0,4,2,1,0,1,4,3,0,1,3,4,1,1,0
vya6991e,5,2,4,7,7,2,6,7,7,6,1,6,7,4,6,7,2,6,1,7,5,3,7,5,5,6,5,4,7,2,7,7,7,7,4,6,7,6,6,7,6,6,1,7,7,7,7,7,5,6,5,8,7,8,7,7,7,7,4,6,7,6,6,7,6,6,1,7,7,7,7,7,3,2,0,0,4,3,1,0,3,0,3,1,1,0,4,4,2,2,2,4,2,0,2,0,0
vzooqcgg,1,5,5,5,3,7,3,1,1,5,7,7,5,4,5,4,1,6,7,4,5,1,6,2,6,7,7,5,3,6,3,3,1,0,7,7,5,4,6,6,7,6,7,2,6,1,7,4,6,7,7,5,3,6,8,3,1,0,7,7,5,4,6,8,7,6,7,2,6,8,7,8,0,0,1,4,1,0,4,1,4,0,0,1,3,1,1,1,1,3,2,2,2,3,1,0,0
y6zlnify,2,6,1,6,5,5,6,7,6,5,3,5,5,5,7,4,5,7,5,2,2,3,7,2,2,5,1,6,6,6,6,7,6,2,3,5,4,7,4,1,6,3,5,4,7,5,5,5,8,5,1,6,6,6,6,7,6,8,3,5,4,7,8,1,8,8,5,4,8,5,5,5,2,0,3,3,0,2,0,4,4,2,3,4,0,1,2,1,0,3,2,0,0,0,2,0,0
yggbjnz3,2,4,6,3,2,2,5,6,6,4,3,5,6,6,5,7,7,6,7,2,6,2,7,6,5,4,6,6,2,2,6,6,7,4,3,5,6,6,6,3,7,6,7,2,2,2,1,6,5,4,6,6,2,2,6,6,7,4,8,8,6,6,6,8,7,6,7,2,8,8,8,8,2,2,2,0,4,4,3,4,2,0,2,3,2,3,1,1,3,4,2,3,3,4,0,4,0
zs5y13li,1,4,1,4,7,2,2,4,2,2,6,4,4,1,6,5,3,3,5,3,5,5,4,1,1,5,2,0,6,2,4,6,2,2,6,4,5,6,6,5,4,2,4,3,7,7,5,1,8,5,2,0,6,2,4,6,8,8,6,4,8,6,8,8,4,8,4,3,8,8,5,8,1,0,0,0,0,3,1,1,4,3,0,2,3,1,4,4,0,0,0,3,2,0,1,2,0
zwfns5t6,7,7,4,6,6,3,3,4,7,6,3,6,3,4,7,3,7,3,4,7,6,6,6,6,6,5,4,6,6,3,4,4,7,5,3,6,3,5,6,2,5,6,6,2,6,5,6,6,6,5,8,6,6,8,4,4,7,5,3,6,8,5,6,2,5,6,6,2,6,5,6,6,1,1,4,4,3,4,0,3,2,1,3,1,1,0,2,1,1,0,0,1,3,1,2,2,0
