code,role,sender_message_R1,sender_message_R2,sender_message_R3,sender_message_R4,sender_message_R5,sender_message_R6,sender_message_R7,sender_message_R8,sender_message_R9,sender_message_R10,sender_message_R11,sender_message_R12,sender_message_R13,sender_message_R14,sender_message_R15,sender_message_R16,sender_message_R17,sender_message_R18,sender_message_R19,sender_message_R20,sender_message_R21,sender_message_R22,sender_message_R23,sender_message_R24
0terrdi1,Player A,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
0x7ppseo,Player A,5.0,7.0,4.0,1.0,5.0,6.0,6.0,4.0,4.0,3.0,7.0,3.0,1.0,1.0,6.0,1.0,7.0,2.0,2.0,3.0,7.0,6.0,3.0,3.0
1apl8ysc,Player A,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,6.0,3.0,2.0,3.0,7.0,6.0
23wkk3hb,Player A,4.0,3.0,2.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,3.0,2.0,7.0,5.0,2.0,6.0,4.0,5.0,1.0,3.0,4.0,1.0
2b0i2yno,Player A,2.0,3.0,6.0,2.0,6.0,7.0,1.0,2.0,5.0,2.0,6.0,2.0,3.0,1.0,4.0,3.0,5.0,5.0,7.0,2.0,1.0,2.0,4.0,4.0
2i74fieb,Player A,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0
33ugfmm8,Player A,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0
3nq2douf,Player A,5.0,3.0,6.0,4.0,6.0,7.0,5.0,3.0,6.0,2.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
61t9jj13,Player A,1.0,5.0,7.0,2.0,6.0,6.0,3.0,6.0,7.0,5.0,5.0,7.0,2.0,7.0,6.0,4.0,7.0,5.0,7.0,2.0,6.0,1.0,7.0,2.0
6c1rupvu,Player A,7.0,6.0,1.0,7.0,3.0,6.0,6.0,5.0,4.0,7.0,7.0,5.0,6.0,7.0,1.0,6.0,5.0,5.0,7.0,5.0,7.0,6.0,5.0,7.0
6hhsii84,Player A,5.0,4.0,6.0,4.0,7.0,3.0,6.0,5.0,4.0,7.0,6.0,2.0,6.0,7.0,6.0,6.0,3.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0
7fxiaij4,Player A,3.0,7.0,3.0,0.0,0.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,4.0,5.0,5.0,4.0,2.0,3.0,1.0,4.0,7.0,4.0,1.0
9c1m5668,Player A,0.0,3.0,5.0,4.0,3.0,1.0,2.0,3.0,1.0,5.0,5.0,3.0,6.0,6.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,5.0,6.0
aq8cnxnd,Player A,3.0,1.0,3.0,7.0,5.0,1.0,5.0,6.0,3.0,4.0,5.0,6.0,7.0,2.0,6.0,6.0,4.0,7.0,5.0,2.0,2.0,2.0,2.0,4.0
bbzxhiby,Player A,4.0,3.0,4.0,7.0,3.0,7.0,6.0,2.0,4.0,3.0,3.0,5.0,7.0,6.0,7.0,3.0,7.0,7.0,2.0,5.0,4.0,4.0,2.0,4.0
bmficmhy,Player A,2.0,5.0,5.0,6.0,3.0,4.0,5.0,1.0,1.0,3.0,2.0,4.0,6.0,2.0,1.0,5.0,4.0,6.0,7.0,5.0,7.0,5.0,5.0,6.0
bpsqf21h,Player A,5.0,6.0,6.0,5.0,5.0,7.0,6.0,7.0,5.0,7.0,6.0,7.0,3.0,7.0,7.0,5.0,2.0,6.0,7.0,5.0,6.0,5.0,1.0,7.0
bsf0z6oj,Player A,5.0,3.0,3.0,4.0,7.0,6.0,1.0,4.0,3.0,7.0,5.0,3.0,4.0,5.0,2.0,6.0,2.0,4.0,1.0,6.0,4.0,5.0,2.0,6.0
bt8aha8c,Player A,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0
btyaxw7v,Player A,5.0,6.0,7.0,4.0,4.0,5.0,7.0,2.0,5.0,4.0,5.0,2.0,6.0,1.0,3.0,7.0,5.0,4.0,6.0,1.0,4.0,6.0,3.0,6.0
bwdqtoei,Player A,6.0,6.0,2.0,7.0,4.0,4.0,5.0,7.0,6.0,2.0,4.0,5.0,7.0,1.0,3.0,7.0,1.0,1.0,6.0,1.0,6.0,7.0,1.0,2.0
bzif7f8u,Player A,3.0,5.0,6.0,4.0,6.0,5.0,1.0,6.0,5.0,7.0,6.0,7.0,6.0,1.0,2.0,7.0,7.0,7.0,7.0,6.0,1.0,2.0,6.0,7.0
c1hszemj,Player A,4.0,4.0,7.0,6.0,5.0,7.0,7.0,7.0,4.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,1.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0
c38okotk,Player A,1.0,6.0,5.0,7.0,4.0,1.0,2.0,6.0,4.0,3.0,2.0,5.0,5.0,3.0,6.0,1.0,7.0,7.0,6.0,3.0,1.0,5.0,7.0,6.0
dhrc5w6i,Player A,6.0,4.0,6.0,6.0,1.0,7.0,6.0,6.0,3.0,7.0,3.0,4.0,4.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0
do2eu6mo,Player A,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0
drx13jw2,Player A,5.0,6.0,4.0,7.0,1.0,4.0,6.0,7.0,7.0,5.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,6.0,5.0
ednon4gd,Player A,5.0,4.0,5.0,3.0,1.0,2.0,4.0,2.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,6.0,5.0,4.0,4.0,1.0,4.0
fc6g9ff3,Player A,7.0,7.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,7.0,4.0,2.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,6.0
hhrziyqd,Player A,2.0,4.0,2.0,5.0,3.0,7.0,6.0,6.0,7.0,6.0,3.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,6.0,5.0,7.0,6.0,4.0,7.0
hsz3rvh9,Player A,7.0,1.0,1.0,4.0,7.0,1.0,2.0,3.0,3.0,6.0,1.0,1.0,2.0,1.0,2.0,6.0,7.0,1.0,5.0,4.0,7.0,7.0,5.0,5.0
hys2is2y,Player A,3.0,6.0,5.0,2.0,4.0,3.0,2.0,5.0,4.0,3.0,6.0,4.0,1.0,5.0,6.0,3.0,7.0,6.0,7.0,4.0,3.0,2.0,4.0,1.0
i0wy3jyf,Player A,6.0,3.0,5.0,2.0,6.0,5.0,2.0,6.0,5.0,5.0,7.0,6.0,4.0,5.0,7.0,2.0,5.0,7.0,5.0,3.0,5.0,4.0,7.0,5.0
i4lun273,Player A,6.0,7.0,4.0,6.0,5.0,4.0,7.0,7.0,5.0,7.0,6.0,7.0,7.0,6.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
j73kug1u,Player A,5.0,6.0,4.0,4.0,6.0,5.0,7.0,1.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,4.0,7.0,1.0,5.0,5.0,6.0,6.0,6.0,6.0
kfuzutet,Player A,6.0,5.0,7.0,6.0,2.0,4.0,6.0,4.0,5.0,6.0,7.0,6.0,3.0,5.0,7.0,6.0,7.0,6.0,7.0,5.0,7.0,6.0,1.0,7.0
l6gaodaz,Player A,4.0,5.0,5.0,2.0,6.0,2.0,7.0,2.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,1.0,4.0,2.0,4.0,5.0,7.0,4.0,5.0,3.0
l9aeh42a,Player A,4.0,6.0,5.0,2.0,6.0,6.0,7.0,2.0,6.0,7.0,4.0,7.0,7.0,3.0,7.0,7.0,6.0,5.0,1.0,7.0,1.0,6.0,7.0,7.0
lgp5yey0,Player A,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,5.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mib85aps,Player A,6.0,6.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,6.0,7.0,7.0,3.0,7.0,5.0,6.0,5.0,6.0,5.0,7.0,6.0,7.0,5.0,6.0
mo3s3acl,Player A,5.0,5.0,3.0,6.0,5.0,5.0,5.0,7.0,3.0,2.0,6.0,7.0,7.0,7.0,1.0,6.0,6.0,3.0,7.0,5.0,2.0,3.0,6.0,7.0
my021v1b,Player A,6.0,7.0,7.0,6.0,3.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,5.0,6.0,2.0,5.0,7.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0
n4tzz3lk,Player A,6.0,7.0,4.0,6.0,4.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,7.0,4.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0
nxjw53pf,Player A,4.0,3.0,5.0,4.0,3.0,5.0,6.0,2.0,6.0,3.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0
obqo8255,Player A,7.0,6.0,6.0,4.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0
ocv2trfq,Player A,4.0,3.0,2.0,1.0,3.0,4.0,7.0,5.0,5.0,7.0,3.0,3.0,5.0,6.0,2.0,4.0,6.0,6.0,5.0,6.0,7.0,1.0,4.0,7.0
ofzig8u2,Player A,7.0,6.0,3.0,6.0,3.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,1.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0
pa5tpos7,Player A,6.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,2.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
pv124e19,Player A,4.0,6.0,7.0,4.0,6.0,5.0,5.0,4.0,6.0,2.0,6.0,5.0,5.0,1.0,5.0,5.0,5.0,7.0,2.0,6.0,5.0,5.0,5.0,5.0
qaaz327i,Player A,2.0,5.0,1.0,7.0,3.0,1.0,5.0,6.0,4.0,2.0,3.0,1.0,4.0,7.0,3.0,1.0,1.0,6.0,2.0,4.0,6.0,3.0,5.0,1.0
r15mbqu3,Player A,7.0,2.0,2.0,7.0,4.0,1.0,2.0,5.0,3.0,2.0,6.0,4.0,5.0,6.0,2.0,7.0,2.0,6.0,5.0,3.0,3.0,1.0,1.0,4.0
tf2c11f2,Player A,5.0,3.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0
tsdk03x2,Player A,6.0,5.0,7.0,6.0,7.0,1.0,5.0,7.0,6.0,7.0,5.0,6.0,7.0,6.0,7.0,4.0,6.0,5.0,7.0,5.0,6.0,7.0,6.0,7.0
udjbh58x,Player A,3.0,5.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,1.0,2.0,7.0,3.0,5.0,7.0,3.0,5.0,5.0,5.0,6.0,6.0,1.0,3.0
upw8p4cx,Player A,2.0,6.0,5.0,4.0,6.0,5.0,4.0,4.0,6.0,4.0,6.0,5.0,1.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,2.0,5.0,5.0
v2qia2ts,Player A,3.0,4.0,5.0,4.0,6.0,4.0,5.0,3.0,3.0,6.0,6.0,6.0,4.0,7.0,4.0,5.0,3.0,3.0,5.0,6.0,5.0,6.0,4.0,5.0
vfr85jk9,Player A,4.0,7.0,5.0,6.0,5.0,2.0,4.0,7.0,6.0,4.0,3.0,4.0,5.0,3.0,1.0,2.0,5.0,5.0,6.0,5.0,6.0,5.0,7.0,4.0
vrsphalo,Player A,5.0,4.0,6.0,6.0,5.0,7.0,5.0,6.0,3.0,7.0,4.0,6.0,5.0,1.0,6.0,7.0,7.0,3.0,5.0,3.0,6.0,6.0,7.0,7.0
vu1ch28p,Player A,6.0,5.0,4.0,7.0,1.0,6.0,5.0,4.0,7.0,7.0,3.0,6.0,3.0,6.0,6.0,7.0,6.0,4.0,6.0,5.0,6.0,0.0,6.0,4.0
w8c11wx2,Player A,3.0,5.0,4.0,2.0,5.0,7.0,5.0,1.0,6.0,5.0,3.0,7.0,5.0,4.0,4.0,1.0,7.0,4.0,4.0,5.0,7.0,5.0,3.0,7.0
w9p5eu6u,Player A,5.0,7.0,4.0,7.0,7.0,3.0,3.0,2.0,3.0,5.0,4.0,6.0,4.0,5.0,3.0,7.0,5.0,5.0,6.0,2.0,5.0,3.0,4.0,7.0
wnjpw6kg,Player A,1.0,7.0,5.0,2.0,4.0,5.0,7.0,7.0,2.0,6.0,4.0,6.0,3.0,6.0,4.0,4.0,7.0,3.0,6.0,2.0,6.0,6.0,6.0,7.0
woqul2y2,Player A,5.0,4.0,7.0,1.0,5.0,3.0,7.0,4.0,7.0,4.0,7.0,5.0,5.0,1.0,7.0,6.0,7.0,7.0,4.0,2.0,1.0,2.0,1.0,7.0
xbxqxif9,Player A,5.0,6.0,5.0,5.0,6.0,3.0,1.0,7.0,4.0,2.0,6.0,6.0,7.0,1.0,6.0,2.0,6.0,5.0,6.0,7.0,6.0,2.0,6.0,7.0
xhey3ztq,Player A,5.0,6.0,7.0,4.0,7.0,7.0,7.0,3.0,4.0,3.0,7.0,1.0,7.0,5.0,7.0,1.0,5.0,4.0,6.0,7.0,7.0,2.0,5.0,7.0
y5p9i8vf,Player A,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0
youww0jk,Player A,5.0,7.0,5.0,6.0,7.0,6.0,6.0,4.0,5.0,5.0,7.0,6.0,6.0,6.0,2.0,7.0,6.0,6.0,7.0,5.0,7.0,5.0,6.0,6.0
zexljh6q,Player A,5.0,7.0,4.0,5.0,3.0,7.0,7.0,6.0,3.0,0.0,5.0,3.0,7.0,4.0,6.0,6.0,5.0,7.0,3.0,5.0,4.0,7.0,5.0,4.0
zp3j40wt,Player A,2.0,5.0,3.0,6.0,5.0,6.0,6.0,7.0,5.0,2.0,6.0,7.0,4.0,6.0,4.0,5.0,6.0,3.0,5.0,6.0,7.0,5.0,3.0,2.0
zwzk7ek4,Player A,0.0,1.0,4.0,6.0,5.0,6.0,2.0,6.0,1.0,5.0,1.0,2.0,3.0,4.0,2.0,5.0,1.0,3.0,5.0,3.0,2.0,6.0,7.0,7.0
